Inlet,Cross-sectional area [km2]
crescent,0.08531625723247883
penn,0.058084157712178626
portsusan,0.4907285994231359
holmes,0.15138250569086442
dabob,0.4663098688064233
dyes,0.0025001597370339496
sinclair,0.029107387230736092
elliot,0.6973917774253093
lynchcove,0.06590938800131727
case,0.19024212297567034
carr,0.297837661196908
quartermaster,0.07729987960017415
commencement,0.6725781988581677
