carr, -4.9
case, -8.5
commencement, -4.5
crescent, -11.5
dabob, -31
dyes, -5.0
elliot, -3.3
holmes, -11.5
lynchcove, -8.5
penn, -10
portsusan, -17
quartermaster, -4.0
sinclair, -6
