budd, -6
carr, -18
case, -8
commencement, -45
crescent, -7
dabob, -57
dyes, -8
eld, -6
elliot, -21
hammersley, -4
henderson, -4
holmes, -14
killsut, -5
lynchcove, -6
oak, -3
penn, -6
portsusan, -37
quartermaster, -6
similk, -4
sinclair, -6
totten, -5
