#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 06 08 18 999 99.0 99.0 99.00 99.00 99.00 999 1021.0   0.0 999.0 999.0 99.0 99.00
2017 01 06 08 27 999 99.0 99.0 99.00 99.00 99.00 999 1020.9   0.0 999.0 999.0 99.0 99.00
2017 01 06 08 36 999 99.0 99.0 99.00 99.00 99.00 999 1020.5   0.1 999.0 999.0 99.0 99.00
2017 01 06 08 45 999 99.0 99.0 99.00 99.00 99.00 999 1020.6  -0.1 999.0 999.0 99.0 99.00
2017 01 06 08 54 999 99.0 99.0 99.00 99.00 99.00 999 1020.7  -0.2 999.0 999.0 99.0 99.00
2017 01 06 09 03 999 99.0 99.0 99.00 99.00 99.00 999 1020.5  -0.1 999.0 999.0 99.0 99.00
2017 01 06 09 11 999 99.0 99.0 99.00 99.00 99.00 999 1020.5  -0.3 999.0 999.0 99.0 99.00
2017 01 06 09 38 999 99.0 99.0 99.00 99.00 99.00 999 1020.4  -0.8 999.0 999.0 99.0 99.00
2017 01 06 09 47 999 99.0 99.0 99.00 99.00 99.00 999 1020.4  -0.9 999.0 999.0 99.0 99.00
2017 01 06 09 56 999 99.0 99.0 99.00 99.00 99.00 999 1020.3  -1.1 999.0 999.0 99.0 99.00
2017 01 06 10 05 999 99.0 99.0 99.00 99.00 99.00 999 1020.4  -1.3 999.0 999.0 99.0 99.00
2017 01 06 10 14 999 99.0 99.0 99.00 99.00 99.00 999 1020.4  -1.2 999.0 999.0 99.0 99.00
2017 01 06 10 22 999 99.0 99.0 99.00 99.00 99.00 999 1020.4  -1.2 999.0 999.0 99.0 99.00
2017 01 06 10 31 999 99.0 99.0 99.00 99.00 99.00 999 1020.3  -1.2 999.0 999.0 99.0 99.00
2017 01 06 10 49 999 99.0 99.0 99.00 99.00 99.00 999 1020.3  -1.0 999.0 999.0 99.0 99.00
2017 01 06 10 58 999 99.0 99.0 99.00 99.00 99.00 999 1020.2  -1.0 999.0 999.0 99.0 99.00
2017 01 06 11 07 999 99.0 99.0 99.00 99.00 99.00 999 1020.1  -1.1 999.0 999.0 99.0 99.00
2017 01 06 11 16 999 99.0 99.0 99.00 99.00 99.00 999 1020.1  -1.2 999.0 999.0 99.0 99.00
2017 01 06 11 25 999 99.0 99.0 99.00 99.00 99.00 999 1020.2  -1.2 999.0 999.0 99.0 99.00
2017 01 06 11 33 999 99.0 99.0 99.00 99.00 99.00 999 1020.1  -1.2 999.0 999.0 99.0 99.00
2017 01 06 11 42 999 99.0 99.0 99.00 99.00 99.00 999 1020.0  -1.2 999.0 999.0 99.0 99.00
2017 01 06 11 51 999 99.0 99.0 99.00 99.00 99.00 999 1020.0  -1.2 999.0 999.0 99.0 99.00
2017 01 06 12 09 999 99.0 99.0 99.00 99.00 99.00 999 1019.8  -0.9 999.0 999.0 99.0 99.00
2017 01 06 12 18 999 99.0 99.0 99.00 99.00 99.00 999 1019.7  -1.2 999.0 999.0 99.0 99.00
2017 01 06 12 27 999 99.0 99.0 99.00 99.00 99.00 999 1019.6  -1.1 999.0 999.0 99.0 99.00
2017 01 06 12 35 999 99.0 99.0 99.00 99.00 99.00 999 1019.5  -1.3 999.0 999.0 99.0 99.00
2017 01 06 12 44 999 99.0 99.0 99.00 99.00 99.00 999 1019.5  -1.1 999.0 999.0 99.0 99.00
